,timestamp,open,high,low,close,volume,turnover
59,2025-04-19,80500.0,102445.8,77721.0,80600.0,1535.875,138049200.9041
58,2025-04-20,80600.0,85205.8,80000.0,84506.3,287.772,23703772.3291
57,2025-04-21,84506.3,93181.9,79400.0,79530.0,564.698,49723430.0019
56,2025-04-22,79530.0,91840.0,74908.3,87300.0,794.551,62380523.1332
55,2025-04-23,87300.0,100447.8,81400.0,87600.0,4076.86,381452569.2485
54,2025-04-24,87600.0,109811.6,83934.3,101681.9,5164.299,504669478.3129
53,2025-04-25,101681.9,113228.8,75800.0,90388.0,150135.322,13028458390.5669
52,2025-04-26,90388.0,94856.0,79778.7,83086.6,11137.858,1020508083.8936
51,2025-04-27,83086.6,97262.9,74500.0,89691.9,67507.882,5334583916.8373
50,2025-04-28,89691.9,96000.0,80688.0,93282.3,461.01,40357663.6626
49,2025-04-29,93282.3,100522.9,86515.7,93329.5,1912.808,180537049.6108
48,2025-04-30,93329.5,97809.7,85800.0,92085.5,1957.434,183600137.0515
47,2025-05-01,92085.5,102327.3,84300.0,94582.9,3348.306,311292207.968
46,2025-05-02,94582.9,112322.3,84609.6,93681.3,6522.201,629492588.3482
45,2025-05-03,93681.3,99056.9,86291.3,91740.1,2211.416,207601644.0187
44,2025-05-04,91740.1,94760.5,89330.0,91575.0,168.638,15529953.2062
43,2025-05-05,91575.0,94760.5,88000.0,90731.5,403.67,37111696.5758
42,2025-05-06,90731.5,98734.0,46000.0,91135.0,8413.531,759630350.8568
41,2025-05-07,91135.0,97813.1,87650.0,93160.9,57894.804,5412807256.5518
40,2025-05-08,93160.9,132979.2,79265.0,91136.4,212592.684,17392918969.6189
39,2025-05-09,91136.4,108863.7,90492.0,96695.2,172.671,16969727.8222
38,2025-05-10,96695.2,111722.3,90888.7,98594.4,4377.903,453584440.5406
37,2025-05-11,98594.4,100001.3,93066.7,97733.4,128.465,12444316.1229
36,2025-05-12,97733.4,103000.0,95626.7,99200.0,230.539,22984555.4383
35,2025-05-13,99200.0,135227.7,98358.0,121894.7,404.055,50246060.1138
34,2025-05-14,121894.7,124469.3,102566.0,104666.7,146.789,16473453.0066
33,2025-05-15,104666.7,114527.3,100330.0,107600.0,108.981,11635295.973
32,2025-05-16,107600.0,114779.2,105327.3,108400.0,177.475,19357706.0042
31,2025-05-17,108400.0,110409.4,101950.0,104062.0,241.124,25467346.0046
30,2025-05-18,104062.0,108717.1,102649.0,105650.2,177.643,18695133.0062
29,2025-05-19,105650.2,106850.0,100911.4,105145.4,347.62,36009636.7131
28,2025-05-20,105145.4,110000.0,103200.0,105243.2,306.804,32517655.0736
27,2025-05-21,105243.2,113459.5,104750.0,109650.0,257.15,27901310.6894
26,2025-05-22,109650.0,131610.4,88096.2,89872.0,16357.514,1828946289.3532
25,2025-05-23,89872.0,110829.7,85000.0,103200.0,1393937.505,125040499556.8887
24,2025-05-24,103200.0,110258.4,102707.7,107690.4,212.318,22750675.0664
23,2025-05-25,107690.4,110000.0,102847.9,106311.2,143.573,15315831.226
22,2025-05-26,106311.2,110449.5,91962.7,96400.0,389.519,39250377.8308
21,2025-05-27,96400.0,142042.9,86101.5,106374.0,2259.371,262838796.3571
20,2025-05-28,106374.0,112652.9,90750.0,106852.8,202255.347,18745762564.4579
19,2025-05-29,106852.8,110258.4,92778.9,107350.0,1645.099,162492198.8109
18,2025-05-30,107350.0,111628.2,98074.2,101538.5,339.796,35774747.3552
17,2025-05-31,101538.5,106933.4,98605.1,102513.6,279.366,28338961.1433
16,2025-06-01,102513.6,119312.8,88376.8,98843.5,120639.345,10885630597.8164
15,2025-06-02,98843.5,125445.4,90000.1,105389.7,10844.946,1250424188.9427
14,2025-06-03,105389.7,163653.7,95600.0,113608.3,489145.898,47097452486.7526
13,2025-06-04,113608.3,119165.9,103622.4,105466.7,438.212,49349255.7166
12,2025-06-05,105466.7,124761.8,88828.8,103066.7,910544.688,81944878488.6914
11,2025-06-06,103066.7,106000.0,90970.8,99342.4,432.869,43326321.7169
10,2025-06-07,99342.4,145993.6,97038.5,133800.0,3191.537,385203835.1967
9,2025-06-08,133800.0,354162.5,100969.0,119226.3,8289.596,1184169787.0614
8,2025-06-09,119226.3,133644.1,102600.0,110370.0,830.04,95796596.115
7,2025-06-10,110370.0,128529.8,96439.7,105333.4,9605.271,1071717282.5094
6,2025-06-11,105333.4,508914.2,91066.7,108734.2,116101.997,28281341478.4065
5,2025-06-12,108734.2,124351.7,106250.1,118908.5,296.658,33432585.8454
4,2025-06-13,118908.5,122683.2,105000.7,113633.4,250.478,26855540.4039
3,2025-06-14,113633.4,156828.7,102244.9,105066.7,1288.524,134317408.5708
2,2025-06-15,105066.7,180697.9,104418.7,112858.3,2027.154,269309405.6691
1,2025-06-16,112858.3,181514.6,44918.0,105682.5,31139.966,1855488593.9899
0,2025-06-17,105682.5,107794.6,80371.9,95945.8,1134.362,117101314.9126
